NAME     INSTALLED  TYPE    VULNERABILITY   SEVERITY  EPSS         RISK   
busybox  1.35.0     binary  CVE-2022-48174  Critical  3.0% (85th)  2.8    
busybox  1.35.0     binary  CVE-2022-28391  High      3.5% (87th)  2.7    
busybox  1.35.0     binary  CVE-2022-30065  High      1.2% (63rd)  0.9    
busybox  1.35.0     binary  CVE-2025-60876  Medium    0.3% (20th)  0.2    
busybox  1.37.0     binary  CVE-2025-60876  Medium    0.3% (20th)  0.2    
busybox  1.37.0     nix     CVE-2025-60876  Medium    0.3% (20th)  0.2    
busybox  1.35.0     binary  CVE-2024-58251  Low       0.2% (14th)  < 0.1  
busybox  1.37.0     binary  CVE-2024-58251  Low       0.2% (14th)  < 0.1  
busybox  1.37.0     nix     CVE-2024-58251  Low       0.2% (14th)  < 0.1  
busybox  1.35.0     binary  CVE-2025-46394  Low       0.1% (4th)   < 0.1  
busybox  1.37.0     binary  CVE-2025-46394  Low       0.1% (4th)   < 0.1  
busybox  1.37.0     nix     CVE-2025-46394  Low       0.1% (4th)   < 0.1
