NAME                INSTALLED  FIXED IN                                             TYPE        VULNERABILITY        SEVERITY  EPSS         RISK   
openssl             0.10.72    0.10.78                                              rust-crate  GHSA-hppc-g8h3-xhp3  High      0.4% (33rd)  0.3    
openssl             3.6.2      1.0.2zq, 1.1.1zh, 3.0.21, 3.4.6, 3.5.7, *3.6.3, ...  nix         CVE-2026-42766       Medium    0.6% (44th)  0.3    
bytes               1.10.1     1.11.1                                               rust-crate  GHSA-434x-w66g-qw3r  Medium    0.6% (42nd)  0.3    
openssl             0.10.72    0.10.78                                              rust-crate  GHSA-ghm9-cr32-g9qj  High      0.4% (29th)  0.3    
openssl             0.10.72    0.10.78                                              rust-crate  GHSA-pqf5-4pqq-29f5  High      0.3% (21st)  0.2    
openssl             0.10.72    0.10.78                                              rust-crate  GHSA-8c75-8mhr-p7r9  High      0.3% (21st)  0.2    
openssl             3.6.2      3.0.21, 3.4.6, 3.5.7, *3.6.3, 4.0.1                  nix         CVE-2026-42767       Medium    0.3% (26th)  0.2    
time                0.3.36     0.3.47                                               rust-crate  GHSA-r6v5-fh4h-64xc  Medium    0.3% (20th)  0.2    
openssl             3.6.2      3.4.6, 3.5.7, *3.6.3, 4.0.1                          nix         CVE-2026-42769       Medium    0.3% (17th)  0.1    
openssl             3.6.2      *3.6.3, 4.0.1                                        nix         CVE-2026-35188       Medium    0.2% (15th)  0.1    
openssl             3.6.2      3.4.6, 3.5.7, *3.6.3, 4.0.1                          nix         CVE-2026-42768       Low       0.4% (27th)  0.1    
rsa                 0.9.8      0.9.10                                               rust-crate  GHSA-9c48-w39g-hm26  Low       0.4% (32nd)  0.1    
openssl             3.6.2      3.0.21, 3.4.6, 3.5.7, *3.6.3, 4.0.1                  nix         CVE-2026-45446       Medium    0.2% (11th)  0.1    
openssl             0.10.72    0.10.79                                              rust-crate  GHSA-xv59-967r-8726  Medium    0.2% (6th)   < 0.1  
openssl             3.6.2      3.0.21, 3.4.6, 3.5.7, *3.6.3, 4.0.1                  nix         CVE-2026-42770       Low       0.3% (17th)  < 0.1  
tracing-subscriber  0.3.19     0.3.20                                               rust-crate  GHSA-xwfj-jgwm-7wp5  Low       0.3% (22nd)  < 0.1  
openssl             0.10.72    0.10.78                                              rust-crate  GHSA-xmgf-hq76-4vx2  Low       0.3% (21st)  < 0.1  
openssl             0.10.72    0.10.80                                              rust-crate  GHSA-phqj-4mhp-q6mq  Medium    N/A          N/A    
lru                 0.12.5     0.16.3                                               rust-crate  GHSA-rhfx-m35p-ff5j  Low       N/A          N/A    
rand                0.8.5      0.8.6                                                rust-crate  GHSA-cq8v-f236-94qc  Low       N/A          N/A    
rand                0.9.2      0.9.3                                                rust-crate  GHSA-cq8v-f236-94qc  Low       N/A          N/A
