NAME                          INSTALLED  FIXED IN                       TYPE       VULNERABILITY        SEVERITY  EPSS          RISK   
golang.org/x/net              v0.17.0    0.23.0                         go-module  GO-2024-2687         High      92.0% (99th)  69.0   
golang.org/x/crypto           v0.14.0    0.17.0                         go-module  GHSA-45x7-px36-x8w8  Medium    93.3% (99th)  50.9   
golang.org/x/crypto           v0.14.0    0.17.0                         go-module  GO-2023-2402         Medium    93.3% (99th)  50.9   
golang.org/x/net              v0.17.0    0.23.0                         go-module  GHSA-4v7x-pqxf-cx7m  Medium    92.0% (99th)  47.4   
golang.org/x/crypto           v0.14.0    0.31.0                         go-module  GHSA-v778-237x-gjrc  Critical  3.2% (86th)   2.9    
golang.org/x/crypto           v0.14.0    0.31.0                         go-module  GO-2024-3321         Critical  3.2% (86th)   2.9    
github.com/coredns/coredns    v1.11.1    1.12.2                         go-module  GHSA-cvx7-x8pj-x2gw  High      1.1% (62nd)   0.8    
github.com/quic-go/quic-go    v0.37.4    0.42.0                         go-module  GHSA-c33x-xqrf-c478  High      1.1% (61st)   0.8    
github.com/coredns/coredns    v1.11.1    1.14.2                         go-module  GHSA-h75p-j8xm-m278  High      1.1% (60th)   0.8    
google.golang.org/protobuf    v1.31.0    1.33.0                         go-module  GHSA-8r3f-844c-mc37  Medium    1.3% (66th)   0.8    
github.com/quic-go/quic-go    v0.37.4    0.37.7                         go-module  GHSA-ppxx-5m9h-6vxf  Medium    1.2% (64th)   0.7    
golang.org/x/crypto           v0.14.0    0.35.0                         go-module  GHSA-hcg3-q754-cr77  High      0.9% (54th)   0.7    
golang.org/x/crypto           v0.14.0    0.35.0                         go-module  GO-2025-3487         High      0.9% (54th)   0.7    
golang.org/x/oauth2           v0.13.0    0.27.0                         go-module  GHSA-6v2p-p543-phr9  High      0.8% (52nd)   0.6    
golang.org/x/oauth2           v0.13.0    0.27.0                         go-module  GO-2025-3488         High      0.8% (52nd)   0.6    
github.com/golang-jwt/jwt/v4  v4.5.0     4.5.2                          go-module  GHSA-mh63-6h87-95cp  High      0.7% (48th)   0.5    
github.com/coredns/coredns    v1.11.1    1.14.3                         go-module  GHSA-63cw-r7xf-jmwr  High      0.7% (47th)   0.5    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-vgwf-h737-ff37  Critical  0.5% (39th)   0.5    
golang.org/x/net              v0.17.0    0.33.0                         go-module  GO-2024-3333         Medium    0.9% (54th)   0.4    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-5cgq-3rg8-m6cv  Critical  0.5% (37th)   0.4    
github.com/coredns/coredns    v1.11.1    1.11.2                         go-module  GHSA-m9w6-wp3h-vq8g  Medium    0.8% (50th)   0.4    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-rm3j-f69w-wqmq  Critical  0.5% (37th)   0.4    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-x527-x647-q7gg  Critical  0.4% (35th)   0.4    
github.com/coredns/coredns    v1.11.1    1.14.3                         go-module  GHSA-vp29-5652-4fw9  High      0.5% (39th)   0.4    
github.com/coredns/coredns    v1.11.1    1.14.3                         go-module  GHSA-2wpx-qpw2-g5h5  High      0.5% (37th)   0.4    
github.com/quic-go/quic-go    v0.37.4    0.48.2                         go-module  GHSA-px8v-pp82-rcvr  Medium    0.6% (44th)   0.3    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-89gr-r52h-f8rx  Critical  0.4% (29th)   0.3    
github.com/quic-go/quic-go    v0.37.4    0.49.1                         go-module  GHSA-47m2-4cr7-mhcw  High      0.4% (35th)   0.3    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-jppx-rxg9-jmrx  Critical  0.4% (28th)   0.3    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-f5wc-c3c7-36mc  Critical  0.3% (26th)   0.3    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-w879-237q-wc7r  High      0.4% (32nd)   0.3    
github.com/coredns/coredns    v1.11.1    1.14.3                         go-module  GHSA-h8mm-c463-wjq3  High      0.4% (30th)   0.3    
github.com/coredns/coredns    v1.11.1    1.12.4                         go-module  GHSA-93mf-426m-g6x9  High      0.4% (32nd)   0.3    
github.com/coredns/coredns    v1.11.1    1.14.3                         go-module  GHSA-qhmp-q7xh-99rh  High      0.4% (29th)   0.3    
github.com/coredns/coredns    v1.11.1    1.14.2                         go-module  GHSA-c9v3-4pv7-87pr  High      0.4% (29th)   0.3    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GO-2026-5015         High      0.4% (28th)   0.3    
golang.org/x/net              v0.17.0    0.38.0                         go-module  GO-2025-3595         Medium    0.5% (37th)   0.3    
golang.org/x/crypto           v0.14.0    0.45.0                         go-module  GHSA-j5w8-q4qc-rx2x  Medium    0.5% (41st)   0.3    
golang.org/x/crypto           v0.14.0    0.45.0                         go-module  GO-2025-4134         Medium    0.5% (41st)   0.3    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-q4h4-gmj2-qvw2  High      0.4% (27th)   0.3    
golang.org/x/net              v0.17.0    0.45.0                         go-module  GO-2026-4440         Medium    0.5% (39th)   0.3    
golang.org/x/crypto           v0.14.0    0.45.0                         go-module  GHSA-f6x5-jh6r-wrfv  Medium    0.5% (38th)   0.2    
golang.org/x/crypto           v0.14.0    0.45.0                         go-module  GO-2025-4135         Medium    0.5% (38th)   0.2    
golang.org/x/net              v0.17.0    0.45.0                         go-module  GO-2026-4441         Medium    0.5% (38th)   0.2    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GO-2026-5014         High      0.3% (22nd)   0.2    
golang.org/x/net              v0.17.0    0.38.0                         go-module  GHSA-vvgc-356p-c3xw  Medium    0.5% (37th)   0.2    
github.com/coredns/coredns    v1.11.1    1.14.0                         go-module  GHSA-527x-5wrf-22m2  Medium    0.4% (33rd)   0.2    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-78mq-xcr3-xm33  Medium    0.4% (28th)   0.2    
golang.org/x/net              v0.17.0    0.36.0                         go-module  GHSA-qxp5-gwg8-xv66  Medium    0.4% (30th)   0.2    
golang.org/x/net              v0.17.0    0.36.0                         go-module  GO-2025-3503         Medium    0.4% (30th)   0.2    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-45gg-vh54-h5m9  Medium    0.3% (22nd)   0.2    
github.com/quic-go/quic-go    v0.37.4    0.57.0                         go-module  GHSA-g754-hx8w-x2g6  Medium    0.3% (24th)   0.2    
busybox                       1.37.0                                    binary     CVE-2025-60876       Medium    0.3% (20th)   0.2    
busybox                       1.37.0                                    nix        CVE-2025-60876       Medium    0.3% (20th)   0.2    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-9m57-25v3-79x9  Medium    0.3% (23rd)   0.2    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GO-2026-5033         Medium    0.3% (23rd)   0.2    
github.com/golang-jwt/jwt/v4  v4.5.0     4.5.1                          go-module  GHSA-29wx-vh33-7x7r  Low       0.5% (40th)   0.1    
github.com/quic-go/quic-go    v0.37.4    0.59.1                         go-module  GHSA-vvgj-x9jq-8cj9  Medium    0.3% (19th)   0.1    
golang.org/x/net              v0.17.0    0.55.0                         go-module  GHSA-5cv4-jp36-h3mw  Medium    0.2% (15th)   0.1    
golang.org/x/net              v0.17.0    0.55.0                         go-module  GO-2026-5028         Medium    0.2% (15th)   0.1    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GHSA-qpw4-5x99-6vjp  Medium    0.2% (9th)    0.1    
golang.org/x/crypto           v0.14.0    0.52.0                         go-module  GO-2026-5016         Medium    0.2% (9th)    0.1    
golang.org/x/net              v0.17.0    0.55.0                         go-module  GO-2026-5025         Medium    0.2% (8th)    0.1    
golang.org/x/net              v0.17.0    0.55.0                         go-module  GO-2026-5027         Medium    0.2% (7th)    < 0.1  
golang.org/x/net              v0.17.0    0.55.0                         go-module  GO-2026-5029         Medium    0.2% (7th)    < 0.1  
golang.org/x/net              v0.17.0    0.55.0                         go-module  GO-2026-5030         Medium    0.2% (7th)    < 0.1  
busybox                       1.37.0                                    binary     CVE-2024-58251       Low       0.2% (14th)   < 0.1  
busybox                       1.37.0                                    nix        CVE-2024-58251       Low       0.2% (14th)   < 0.1  
