NAME                     INSTALLED  FIXED IN                            TYPE    VULNERABILITY        SEVERITY  EPSS          RISK   
node                     20.15.1    *20.20.2, 22.22.2, 24.14.1, 25.8.2  binary  CVE-2026-21710       High      26.4% (97th)  19.8   
ip                       1.1.9                                          npm     GHSA-2p57-rm9w-gvfp  High      8.3% (94th)   6.5    
node                     20.15.1    *20.20.0, 22.22.0, 24.13.0, 25.3.0  binary  CVE-2025-59465       High      3.8% (88th)   2.8    
node                     20.15.1    *20.20.0, 22.22.0, 24.13.0, 25.3.0  binary  CVE-2025-55131       High      3.5% (87th)   2.5    
axios                    1.7.9      1.13.5                              npm     GHSA-43fc-jf86-j433  High      2.6% (83rd)   1.9    
handlebars               4.7.7      4.7.9                               npm     GHSA-2w6w-674q-4c4q  Critical  1.8% (75th)   1.7    
tar-fs                   3.0.6      3.0.7                               npm     GHSA-pq67-2wwv-3xjx  High      2.2% (80th)   1.6    
form-data                4.0.0      4.0.4                               npm     GHSA-fjxv-7rqg-78g4  Critical  1.7% (74th)   1.6    
node                     20.15.1    *20.20.0, 22.22.0, 24.13.0, 25.3.0  binary  CVE-2025-55130       Critical  1.6% (73rd)   1.4    
lodash                   4.17.21    4.18.0                              npm     GHSA-r5fr-rjxr-66jc  High      1.7% (74th)   1.4    
lodash                   4.17.21    4.17.23                             npm     GHSA-xxjr-mmjv-4gpg  Medium    1.5% (71st)   0.9    
axios                    1.7.9      1.15.0                              npm     GHSA-fvcv-3m26-pcqx  Medium    1.8% (76th)   0.9    
axios                    1.7.9      1.16.0                              npm     GHSA-35jp-ww65-95wh  High      1.0% (59th)   0.8    
axios                    1.7.9      1.12.0                              npm     GHSA-4hjh-wcwx-xvwj  High      1.1% (61st)   0.8    
node                     20.15.1    *20.20.0, 22.22.0, 24.13.0, 25.3.0  binary  CVE-2026-21637       High      1.1% (60th)   0.7    
node                     20.15.1    18.20.6, *20.18.2, 22.13.1, 23.6.1  binary  CVE-2025-23085       Medium    1.3% (67th)   0.7    
axios                    1.7.9      1.15.0                              npm     GHSA-3p68-rc4w-qgx5  Medium    1.2% (64th)   0.6    
axios                    1.7.9      1.15.1                              npm     GHSA-pf86-5x62-jrwf  High      0.8% (53rd)   0.6    
ws                       8.18.0     8.21.0                              npm     GHSA-96hv-2xvq-fx4p  High      0.8% (51st)   0.6    
axios                    1.7.9      1.8.2                               npm     GHSA-jr5f-v2jv-69x6  High      0.8% (50th)   0.6    
node                     20.15.1    *20.19.2, 22.15.1, 23.11.1, 24.0.2  binary  CVE-2025-23166       High      0.8% (50th)   0.6    
node-forge               1.3.1      1.3.2                               npm     GHSA-5gfm-wpxj-wjgq  High      0.7% (48th)   0.6    
handlebars               4.7.7      4.7.9                               npm     GHSA-3mfm-83xf-c92r  High      0.7% (49th)   0.6    
handlebars               4.7.7      4.7.9                               npm     GHSA-xhpv-hc6g-r9c6  High      0.7% (48th)   0.5    
axios                    1.7.9      1.16.0                              npm     GHSA-p92q-9vqr-4j8v  High      0.7% (48th)   0.5    
axios                    1.7.9      1.15.1                              npm     GHSA-pmwg-cvhr-8vh7  High      0.7% (47th)   0.5    
axios                    1.7.9      1.16.0                              npm     GHSA-hfxv-24rg-xrqf  High      0.6% (46th)   0.5    
basic-ftp                5.0.3      5.2.0                               npm     GHSA-5rq4-664w-9x2c  Critical  0.5% (40th)   0.5    
axios                    1.7.9      1.16.0                              npm     GHSA-777c-7fjr-54vf  High      0.6% (45th)   0.5    
handlebars               4.7.7      4.7.9                               npm     GHSA-9cx6-37pm-9jff  High      0.6% (45th)   0.5    
axios                    1.7.9      1.15.1                              npm     GHSA-62hf-57xw-28j9  Medium    0.7% (50th)   0.5    
node-forge               1.3.1      1.4.0                               npm     GHSA-5m6q-g25r-mvwx  High      0.6% (44th)   0.4    
node                     20.15.1    *20.20.0, 22.22.0, 24.13.0, 25.3.0  binary  CVE-2025-59466       High      0.6% (45th)   0.4    
tar                      6.2.1      7.5.7                               npm     GHSA-34x7-hfp2-rc4v  High      0.5% (41st)   0.4    
minimatch                3.1.2      3.1.3                               npm     GHSA-3ppc-4f35-3m26  High      0.5% (40th)   0.4    
tar-fs                   3.0.6      3.1.1                               npm     GHSA-vj76-c3g6-qr5v  High      0.5% (40th)   0.4    
axios                    1.7.9      1.16.0                              npm     GHSA-j5f8-grm9-p9fc  High      0.6% (42nd)   0.4    
axios                    1.7.9      1.15.2                              npm     GHSA-q8qp-cvcw-x6jj  High      0.5% (41st)   0.4    
minimatch                3.1.2      3.1.3                               npm     GHSA-7r86-cg39-jmmj  High      0.5% (40th)   0.4    
tar-fs                   3.0.6      3.0.9                               npm     GHSA-8cj5-5rvv-wf4v  High      0.5% (37th)   0.4    
axios                    1.7.9      1.15.2                              npm     GHSA-3g43-6gmg-66jw  High      0.5% (38th)   0.4    
minimatch                3.1.2      3.1.4                               npm     GHSA-23c5-xmqv-rm74  High      0.5% (37th)   0.4    
basic-ftp                5.0.3      5.3.1                               npm     GHSA-rpmf-866q-6p89  High      0.5% (37th)   0.3    
ws                       8.18.0     8.20.1                              npm     GHSA-58qx-3vcg-4xpx  Medium    0.7% (49th)   0.3    
axios                    1.7.9      1.15.2                              npm     GHSA-3w6x-2g7m-8v23  Medium    0.6% (43rd)   0.3    
@hapi/content            5.0.2      6.0.1                               npm     GHSA-jg4p-7fhp-p32p  High      0.4% (33rd)   0.3    
tar                      6.2.1      7.5.10                              npm     GHSA-qffp-2rhf-9h96  High      0.4% (32nd)   0.3    
form-data                4.0.0      4.0.6                               npm     GHSA-hmw2-7cc7-3qxx  High      0.4% (32nd)   0.3    
js-cookie                2.2.1      3.0.7                               npm     GHSA-qjx8-664m-686j  High      0.4% (34th)   0.3    
node                     20.15.1    *20.18.2, 22.13.1, 23.6.1           binary  CVE-2025-23083       High      0.4% (33rd)   0.3    
picomatch                2.3.1      2.3.2                               npm     GHSA-c2c7-rcm5-vvqj  High      0.4% (33rd)   0.3    
protocol-buffers-schema  3.3.2      3.6.1                               npm     GHSA-j452-xhg8-qg39  Medium    0.5% (41st)   0.3    
nodemailer               6.9.9      7.0.11                              npm     GHSA-rcmh-qjqh-p98v  High      0.4% (32nd)   0.3    
node-forge               1.3.1      1.3.2                               npm     GHSA-554w-wpv2-vw27  High      0.4% (29th)   0.3    
axios                    1.7.9      1.15.1                              npm     GHSA-w9j2-pvgh-6h63  Medium    0.6% (44th)   0.3    
