NAME                        INSTALLED                           FIXED IN                           TYPE       VULNERABILITY        SEVERITY  EPSS           RISK          
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.23.0                             go-module  GO-2024-2687         High      92.0% (99th)   69.0          
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.17.0                             go-module  GHSA-qppj-fm5r-hxr3  Medium    100.0% (99th)  58.3   (kev)  
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20231218163308-9d2ee975ef9f  go-module  GHSA-45x7-px36-x8w8  Medium    93.3% (99th)   50.9          
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.17.0                             go-module  GO-2023-2402         Medium    93.3% (99th)   50.9          
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.23.0                             go-module  GHSA-4v7x-pqxf-cx7m  Medium    92.0% (99th)   47.4          
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20210520170846-37e1c6afe023  go-module  GHSA-83g2-8m93-v3w7  High      7.3% (93rd)    5.5           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20210520170846-37e1c6afe023  go-module  GO-2021-0238         High      7.3% (93rd)    5.5           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.7.0                              go-module  GHSA-vvpx-j8f3-3w6h  High      4.6% (90th)    3.4           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.7.0                              go-module  GO-2023-1571         High      4.6% (90th)    3.4           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20211209124913-491a49abca63  go-module  GO-2022-0288         High      4.0% (89th)    3.0           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20220314234659-1baeb1ce4c0b  go-module  GHSA-8c26-wmh5-6g9v  High      3.9% (89th)    2.9           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20220314234659-1baeb1ce4c0b  go-module  GO-2021-0356         High      3.9% (89th)    2.9           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.4.0                              go-module  GHSA-xrjj-mj9h-534m  Medium    5.6% (92nd)    2.9           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.4.0                              go-module  GO-2022-1144         Medium    5.6% (92nd)    2.9           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.31.0                             go-module  GHSA-v778-237x-gjrc  Critical  3.2% (86th)    2.9           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.31.0                             go-module  GO-2024-3321         Critical  3.2% (86th)    2.9           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.17.0                             go-module  GHSA-4374-p667-p6c8  High      3.8% (88th)    2.8           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.17.0                             go-module  GO-2023-2102         High      3.8% (88th)    2.8           
github.com/gogo/protobuf    v1.3.1                              1.3.2                              go-module  GHSA-c3h9-896r-86jm  High      3.5% (87th)    2.8           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20201216223049-8b5274cf687f  go-module  GHSA-3vm4-22fp-5rfm  High      3.2% (86th)    2.4           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20201216223049-8b5274cf687f  go-module  GO-2021-0227         High      3.2% (86th)    2.4           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20210428140749-89ef3d95e781  go-module  GHSA-h86h-8ppg-mxmh  Medium    3.7% (88th)    2.0           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20210428140749-89ef3d95e781  go-module  GO-2022-0236         Medium    3.7% (88th)    2.0           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20220906165146-f3363e06e74c  go-module  GHSA-69cg-p879-7622  High      2.6% (83rd)    2.0           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.0.0-20220906165146-f3363e06e74c  go-module  GO-2022-0969         High      2.6% (83rd)    2.0           
golang.org/x/sys            v0.0.0-20200622214017-ed371f2e16b4  0.0.0-20220412211240-33da011f77ad  go-module  GHSA-p782-xgp4-8hr8  Medium    2.6% (83rd)    1.3           
golang.org/x/sys            v0.0.0-20200622214017-ed371f2e16b4  0.0.0-20220412211240-33da011f77ad  go-module  GO-2022-0493         Medium    2.6% (83rd)    1.3           
golang.org/x/text           v0.3.3                              0.3.8                              go-module  GHSA-69ch-w2m2-3vjp  High      1.4% (69th)    1.1           
golang.org/x/text           v0.3.3                              0.3.8                              go-module  GO-2022-1059         High      1.4% (69th)    1.1           
golang.org/x/text           v0.3.3                              0.3.7                              go-module  GHSA-ppp9-7jff-5vj2  High      1.4% (68th)    1.0           
golang.org/x/text           v0.3.3                              0.3.7                              go-module  GO-2021-0113         High      1.4% (68th)    1.0           
google.golang.org/protobuf  v1.24.0                             1.33.0                             go-module  GHSA-8r3f-844c-mc37  Medium    1.3% (66th)    0.8           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20211202192323-5770296d904e  go-module  GHSA-gwc9-m7rh-j2ww  High      1.0% (58th)    0.7           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20211202192323-5770296d904e  go-module  GO-2022-0968         High      1.0% (58th)    0.7           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.35.0                             go-module  GHSA-hcg3-q754-cr77  High      0.9% (54th)    0.7           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.35.0                             go-module  GO-2025-3487         High      0.9% (54th)    0.7           
golang.org/x/oauth2         v0.0.0-20191202225959-858c2ad4c8b6  0.27.0                             go-module  GHSA-6v2p-p543-phr9  High      0.8% (52nd)    0.6           
golang.org/x/oauth2         v0.0.0-20191202225959-858c2ad4c8b6  0.27.0                             go-module  GO-2025-3488         High      0.8% (52nd)    0.6           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.0.0-20220525230936-793ad666bf5e  go-module  GO-2024-2961         High      0.6% (45th)    0.5           
github.com/sirupsen/logrus  v1.4.2                              1.8.3                              go-module  GHSA-4f99-4q7p-p3gh  High      0.6% (43rd)    0.5           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.13.0                             go-module  GHSA-2wrh-6pvc-2jm9  Medium    0.8% (53rd)    0.5           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.13.0                             go-module  GO-2023-1988         Medium    0.8% (53rd)    0.5           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-vgwf-h737-ff37  Critical  0.5% (39th)    0.5           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.33.0                             go-module  GO-2024-3333         Medium    0.9% (54th)    0.4           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-5cgq-3rg8-m6cv  Critical  0.5% (37th)    0.4           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-rm3j-f69w-wqmq  Critical  0.5% (37th)    0.4           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-x527-x647-q7gg  Critical  0.4% (35th)    0.4           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-89gr-r52h-f8rx  Critical  0.4% (29th)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-jppx-rxg9-jmrx  Critical  0.4% (28th)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-f5wc-c3c7-36mc  Critical  0.3% (26th)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-w879-237q-wc7r  High      0.4% (32nd)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GO-2026-5015         High      0.4% (28th)    0.3           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.38.0                             go-module  GO-2025-3595         Medium    0.5% (37th)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.45.0                             go-module  GHSA-j5w8-q4qc-rx2x  Medium    0.5% (41st)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.45.0                             go-module  GO-2025-4134         Medium    0.5% (41st)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-q4h4-gmj2-qvw2  High      0.4% (27th)    0.3           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.45.0                             go-module  GO-2026-4440         Medium    0.5% (39th)    0.3           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.45.0                             go-module  GHSA-f6x5-jh6r-wrfv  Medium    0.5% (38th)    0.2           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.45.0                             go-module  GO-2025-4135         Medium    0.5% (38th)    0.2           
k8s.io/client-go            v0.19.2                             0.19.6                             go-module  GHSA-8cfg-vx93-jvxw  Medium    0.5% (39th)    0.2           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.45.0                             go-module  GO-2026-4441         Medium    0.5% (38th)    0.2           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GO-2026-5014         High      0.3% (22nd)    0.2           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.38.0                             go-module  GHSA-vvgc-356p-c3xw  Medium    0.5% (37th)    0.2           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-78mq-xcr3-xm33  Medium    0.4% (28th)    0.2           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.36.0                             go-module  GHSA-qxp5-gwg8-xv66  Medium    0.4% (30th)    0.2           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.36.0                             go-module  GO-2025-3503         Medium    0.4% (30th)    0.2           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-45gg-vh54-h5m9  Medium    0.3% (22nd)    0.2           
busybox                     1.37.0                                                                 binary     CVE-2025-60876       Medium    0.3% (20th)    0.2           
busybox                     1.37.0                                                                 nix        CVE-2025-60876       Medium    0.3% (20th)    0.2           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-9m57-25v3-79x9  Medium    0.3% (23rd)    0.2           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GO-2026-5033         Medium    0.3% (23rd)    0.2           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.55.0                             go-module  GHSA-5cv4-jp36-h3mw  Medium    0.2% (15th)    0.1           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.55.0                             go-module  GO-2026-5028         Medium    0.2% (15th)    0.1           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GHSA-qpw4-5x99-6vjp  Medium    0.2% (9th)     0.1           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9  0.52.0                             go-module  GO-2026-5016         Medium    0.2% (9th)     0.1           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.55.0                             go-module  GO-2026-5025         Medium    0.2% (8th)     0.1           
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.55.0                             go-module  GO-2026-5027         Medium    0.2% (7th)     < 0.1         
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.55.0                             go-module  GO-2026-5029         Medium    0.2% (7th)     < 0.1         
golang.org/x/net            v0.0.0-20200707034311-ab3426394381  0.55.0                             go-module  GO-2026-5030         Medium    0.2% (7th)     < 0.1         
busybox                     1.37.0                                                                 binary     CVE-2024-58251       Low       0.2% (14th)    < 0.1         
busybox                     1.37.0                                                                 nix        CVE-2024-58251       Low       0.2% (14th)    < 0.1         
busybox                     1.37.0                                                                 binary     CVE-2025-46394       Low       0.1% (4th)     < 0.1         
busybox                     1.37.0                                                                 nix        CVE-2025-46394       Low       0.1% (4th)     < 0.1         
golang.org/x/sys            v0.0.0-20200622214017-ed371f2e16b4  0.44.0                             go-module  GO-2026-5024         Low       0.1% (1st)     < 0.1         
stdlib                      go1.26.4                            1.25.12, *1.26.5, 1.27.0-rc.2      go-module  GO-2026-4970         High      N/A            N/A           
stdlib                      go1.26.4                            1.25.12, *1.26.5, 1.27.0-rc.2      go-module  GO-2026-5856         Medium    N/A            N/A           
golang.org/x/crypto         v0.0.0-20200622213623-75b288015ac9                                     go-module  GO-2026-5932         Unknown   N/A            N/A
