NAME                      INSTALLED   FIXED IN        TYPE          VULNERABILITY        SEVERITY  EPSS          RISK   
snakeyaml                 1.26        2.0             java-archive  GHSA-mjmj-j48q-9wg2  High      99.6% (99th)  78.7   
snakeyaml                 1.33        2.0             java-archive  GHSA-mjmj-j48q-9wg2  High      99.6% (99th)  78.7   
nokogiri                  1.12.5      1.13.4          gem           GHSA-jc36-42cf-vqwj  High      51.7% (98th)  38.8   
nokogiri                  1.12.5      1.13.2          gem           GHSA-59gp-qqm7-cw4j  High      21.6% (97th)  17.6   
xalan                     2.7.2       2.7.3           java-archive  GHSA-9339-86wc-4qgf  High      17.7% (96th)  13.3   
git                       1.10.2      1.11.0          gem           GHSA-69p6-wvmq-27gg  Critical  4.9% (90th)   4.6    
jackson-databind          2.9.10.8    2.12.6.1        java-archive  GHSA-57j2-w4cx-62h2  High      4.9% (90th)   3.6    
avro                      1.11.3      1.11.4          java-archive  GHSA-r7pg-v2c8-mfg3  Critical  3.3% (86th)   3.0    
azure-eventhubs           2.3.2       3.2.1           java-archive  GHSA-8q69-pw39-hpqh  High      3.6% (88th)   2.7    
nokogiri                  1.12.5      1.13.4          gem           GHSA-crjr-9rc5-ghw8  High      3.5% (87th)   2.7    
jackson-dataformat-cbor   2.9.10      2.11.4          java-archive  GHSA-xmc8-26q4-qjhx  High      3.1% (86th)   2.3    
nokogiri                  1.12.5      1.13.6          gem           GHSA-xh29-r2w5-wx8m  High      2.9% (85th)   2.3    
JRuby                     1.0         1.6.5.1         binary        CVE-2011-4838        Medium    4.4% (90th)   2.2    
jackson-databind          2.9.10.8    2.12.7.1        java-archive  GHSA-jjjh-jjxp-wpff  High      2.8% (84th)   2.1    
jackson-databind          2.9.10.8    2.12.7.1        java-archive  GHSA-rgv9-q543-rqg4  High      2.7% (83rd)   2.0    
snakeyaml                 1.26        1.31            java-archive  GHSA-3mc7-4q67-w48m  High      2.2% (80th)   1.6    
snappy-java               1.1.0.1     1.1.10.1        java-archive  GHSA-qcwq-55hx-v3vh  High      1.8% (75th)   1.3    
snappy-java               1.1.8.4     1.1.10.1        java-archive  GHSA-qcwq-55hx-v3vh  High      1.8% (75th)   1.3    
snakeyaml                 1.26        1.32            java-archive  GHSA-9w3m-gqgf-c4p9  Medium    2.1% (79th)   1.2    
JRuby                     1.0                         binary        CVE-2012-5370        Medium    2.2% (80th)   1.1    
rdoc                      6.1.2       6.1.2.1         gem           GHSA-ggxm-pgc9-g7fp  High      1.5% (70th)   1.1    
rexml                     3.2.6       3.2.7           gem           GHSA-vg3r-rm7w-2xgh  Medium    2.1% (79th)   1.1    
git                       1.10.2      1.13.0          gem           GHSA-pphf-gfrm-v32r  High      1.4% (68th)   1.1    
git                       1.10.2      1.13.0          gem           GHSA-pfpr-3463-c6jh  High      1.4% (68th)   1.0    
JRuby                     1.0                         binary        CVE-2010-1330        Medium    2.2% (80th)   1.0    
commons-io                2.8.0       2.14.0          java-archive  GHSA-78wr-2p64-hpwj  High      1.2% (65th)   1.0    
snakeyaml                 1.26        1.31            java-archive  GHSA-c4r9-r8fh-9vj2  Medium    1.6% (73rd)   0.9    
snappy-java               1.1.0.1     1.1.10.1        java-archive  GHSA-pqr6-cmr2-h8hf  Medium    1.7% (74th)   0.9    
snappy-java               1.1.8.4     1.1.10.1        java-archive  GHSA-pqr6-cmr2-h8hf  Medium    1.7% (74th)   0.9    
erb                       2.2.3       4.0.3.1         gem           GHSA-q339-8rmv-2mhv  High      1.1% (62nd)   0.9    
rexml                     3.2.6       3.3.6           gem           GHSA-vmwr-mc7x-5vc3  High      1.2% (64th)   0.9    
snakeyaml                 1.26        1.31            java-archive  GHSA-98wm-3w3q-mw94  Medium    1.5% (71st)   0.9    
rexml                     3.2.6       3.3.9           gem           GHSA-2rxp-v6pw-ch6m  Medium    1.4% (69th)   0.9    
snakeyaml                 1.26        1.32            java-archive  GHSA-w37g-rhq8-7m4j  Medium    1.5% (70th)   0.8    
rack                      2.2.10      2.2.13          gem           GHSA-7wqh-767x-r66v  High      1.1% (60th)   0.8    
snappy-java               1.1.0.1     1.1.10.1        java-archive  GHSA-fjpj-2g6w-x25r  Medium    1.5% (70th)   0.8    
snappy-java               1.1.8.4     1.1.10.1        java-archive  GHSA-fjpj-2g6w-x25r  Medium    1.5% (70th)   0.8    
rexml                     3.2.6       3.3.2           gem           GHSA-4xqq-m2hx-25v8  Medium    1.5% (71st)   0.8    
rexml                     3.2.6       3.3.3           gem           GHSA-r55c-59qm-vjw6  Medium    1.3% (66th)   0.8    
snappy-java               1.1.0.1     1.1.10.4        java-archive  GHSA-55g7-9cwv-5qfv  High      1.0% (59th)   0.8    
snappy-java               1.1.8.4     1.1.10.4        java-archive  GHSA-55g7-9cwv-5qfv  High      1.0% (59th)   0.8    
rexml                     3.2.6       3.3.3           gem           GHSA-5866-49gr-22v4  Medium    1.2% (64th)   0.7    
kafka_2.12                2.8.1       3.9.1           java-archive  GHSA-76qp-h5mr-frr4  High      0.9% (54th)   0.7    
kafka_2.12                2.8.1       3.4.0           java-archive  GHSA-mcwh-c9pg-xw43  High      0.9% (54th)   0.7    
rack                      2.2.10      2.2.14          gem           GHSA-gjh7-p2fx-99vx  High      0.9% (55th)   0.7    
kafka-clients             2.8.1       3.7.1           java-archive  GHSA-2x2g-32r7-p4x8  Medium    1.1% (62nd)   0.7    
rack                      2.2.10      2.2.19          gem           GHSA-p543-xpfm-54cp  High      0.9% (54th)   0.7    
rack                      2.2.10      2.2.19          gem           GHSA-wpv5-97wm-hp9c  High      0.9% (54th)   0.7    
rack                      2.2.10      2.2.11          gem           GHSA-7g2v-jj9q-g3rg  Medium    1.1% (61st)   0.6    
bcprov-jdk15on            1.68        1.78            java-archive  GHSA-8xfc-gm6g-vgpv  Medium    1.1% (61st)   0.6    
snakeyaml                 1.26        1.31            java-archive  GHSA-hhhw-99gj-p3c3  Medium    1.0% (59th)   0.5    
lz4-java                  1.7.1       1.8.1           java-archive  GHSA-vqf4-7m7x-wgfc  High      0.6% (46th)   0.5    
amqp-client               5.9.0       5.18.0          java-archive  GHSA-mm8h-8587-p46h  Medium    1.1% (60th)   0.5    
sinatra                   2.2.1       2.2.3           gem           GHSA-2x8x-jmrp-phxw  High      0.6% (46th)   0.5    
jackson-core              2.9.10      2.15.0          java-archive  GHSA-h46c-h94j-95f3  High      0.6% (46th)   0.5    
log4j-core                2.17.1      2.25.4          java-archive  GHSA-3pxv-7cmr-fjr4  Medium    0.9% (54th)   0.5    
jersey-common             2.33        2.34            java-archive  GHSA-c43q-5hpj-4crv  Medium    0.9% (55th)   0.5    
rack                      2.2.10      2.2.22          gem           GHSA-mxw3-3hh2-x2mh  High      0.7% (47th)   0.5    
bcprov-jdk15on            1.68        1.78            java-archive  GHSA-v435-xc8x-wvr9  Medium    0.9% (55th)   0.5    
bcprov-jdk15on            1.68                        java-archive  GHSA-wjxj-5m7g-mg7q  Medium    0.9% (56th)   0.5    
rack                      2.2.10      2.2.20          gem           GHSA-6xw4-3v39-52mm  High      0.6% (44th)   0.5    
lz4-java                  1.7.1                       java-archive  GHSA-cmp6-m4wj-q63q  High      0.6% (42nd)   0.4    
cgi                       0.4.1       0.4.2           gem           GHSA-gh9q-2xrm-x6qv  Medium    0.8% (51st)   0.4    
dalli                     2.7.11      3.2.3           gem           GHSA-3xg8-cc8f-9wv2  Low       1.3% (66th)   0.4    
log4j-core                2.17.1      2.25.3          java-archive  GHSA-vc5p-v9hr-52mj  Medium    0.7% (50th)   0.4    
