NAME                        INSTALLED              FIXED IN                       TYPE       VULNERABILITY        SEVERITY  EPSS         RISK   
bind-utils                  9.20.21-150700.3.18.1  0:9.20.23-150700.3.25.1        rpm        CVE-2026-3593        High      1.8% (76th)  1.5    
bind-utils                  9.20.21-150700.3.18.1  0:9.20.23-150700.3.25.1        rpm        CVE-2026-5946        High      1.8% (76th)  1.4    
bind-utils                  9.20.21-150700.3.18.1  0:9.20.23-150700.3.25.1        rpm        CVE-2026-5947        High      1.4% (68th)  1.0    
bind-utils                  9.20.21-150700.3.18.1  0:9.20.23-150700.3.25.1        rpm        CVE-2026-3039        High      1.0% (60th)  0.8    
stdlib                      go1.25.10              *1.25.11, 1.26.4               go-module  GO-2026-5037         High      0.9% (55th)  0.7    
stdlib                      go1.26.3               1.25.11, *1.26.4               go-module  GO-2026-5037         High      0.9% (55th)  0.7    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GHSA-vgwf-h737-ff37  Critical  0.5% (39th)  0.5    
libsolv-tools-base          0.7.35-150700.11.5.2   0:0.7.39-150700.11.10.1        rpm        CVE-2026-25707       High      0.6% (44th)  0.4    
libzypp                     17.37.18-150700.6.3.1  0:17.38.13-150700.6.13.1       rpm        CVE-2026-25707       High      0.6% (44th)  0.4    
zypper                      1.14.94-150700.13.3.1  0:1.14.98-150700.13.6.1        rpm        CVE-2026-25707       High      0.6% (44th)  0.4    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GHSA-5cgq-3rg8-m6cv  Critical  0.5% (37th)  0.4    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GHSA-rm3j-f69w-wqmq  Critical  0.5% (37th)  0.4    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GHSA-x527-x647-q7gg  Critical  0.4% (35th)  0.4    
libsolv-tools-base          0.7.35-150700.11.5.2   0:0.7.39-150700.11.10.1        rpm        CVE-2026-44941       High      0.5% (41st)  0.4    
libzypp                     17.37.18-150700.6.3.1  0:17.38.13-150700.6.13.1       rpm        CVE-2026-44941       High      0.5% (41st)  0.4    
