NAME                          INSTALLED    FIXED IN      TYPE          VULNERABILITY        SEVERITY  EPSS         RISK   
netty-codec-http2             4.2.6.Final  4.2.11.Final  java-archive  GHSA-w9fj-cfpg-grvv  High      1.1% (62nd)  0.9    
jetty-http                    12.0.27      12.0.33       java-archive  GHSA-355h-qmc2-wpwf  High      1.1% (62nd)  0.8    
netty-codec-http              4.2.6.Final  4.2.13.Final  java-archive  GHSA-f6hv-jmp6-3vwv  High      0.9% (54th)  0.6    
netty-codec-http2             4.2.6.Final  4.2.13.Final  java-archive  GHSA-f6hv-jmp6-3vwv  High      0.9% (54th)  0.6    
bcpg-jdk18on                  1.82         1.84          java-archive  GHSA-cj8j-37rh-8475  High      0.8% (50th)  0.6    
bcprov-jdk18on                1.82         1.84          java-archive  GHSA-p93r-85wp-75v3  High      0.7% (48th)  0.6    
jackson-databind              2.20.0       2.21.4        java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (47th)  0.5    
jackson-databind              2.20.0       2.21.4        java-archive  GHSA-j3rv-43j4-c7qm  High      0.6% (45th)  0.5    
netty-codec-http              4.2.6.Final  4.2.10.Final  java-archive  GHSA-pwqr-wmgm-9rr8  High      0.6% (46th)  0.5    
jetty-server                  12.0.27      12.0.32       java-archive  GHSA-xxh7-fcf3-rj7f  High      0.6% (45th)  0.5    
netty-codec-http              4.2.6.Final  4.2.13.Final  java-archive  GHSA-57rv-r2g8-2cj3  High      0.6% (45th)  0.5    
spring-security-web           6.5.4        6.5.9         java-archive  GHSA-mf92-479x-3373  Critical  0.5% (38th)  0.4    
netty-codec-compression       4.2.6.Final  4.2.13.Final  java-archive  GHSA-mj4r-2hfc-f8p6  High      0.4% (34th)  0.3    
netty-codec-http2             4.2.6.Final  4.2.15.Final  java-archive  GHSA-c2gf-v879-257j  Medium    0.6% (44th)  0.3    
bcprov-jdk18on                1.82         1.84          java-archive  GHSA-574f-3g2m-x479  Critical  0.3% (23rd)  0.3    
spring-boot-starter-actuator  3.5.5        3.5.12        java-archive  GHSA-mgvc-8q2h-5pgc  High      0.4% (28th)  0.3    
netty-codec-http              4.2.6.Final  4.2.13.Final  java-archive  GHSA-xxqh-mfjm-7mv9  Medium    0.5% (40th)  0.3    
bcprov-jdk18on                1.82         1.84          java-archive  GHSA-c3fc-8qff-9hwx  Medium    0.5% (40th)  0.3    
spring-boot-starter-actuator  3.5.5        3.5.12        java-archive  GHSA-8hfc-fq58-r658  High      0.3% (25th)  0.3    
bcpkix-jdk18on                1.82         1.84          java-archive  GHSA-wg6q-6289-32hp  Medium    0.4% (31st)  0.2    
spring-webmvc                 6.2.11       6.2.17        java-archive  GHSA-4773-3jfm-qmx3  Medium    0.4% (30th)  0.2    
netty-codec-http              4.2.6.Final  4.2.13.Final  java-archive  GHSA-m4cv-j2px-7723  Medium    0.4% (28th)  0.2    
netty-handler                 4.2.6.Final  4.2.15.Final  java-archive  GHSA-c653-97m9-rcg9  High      0.3% (18th)  0.2    
jackson-databind              2.20.0                     java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (26th)  0.2    
