NAME                 INSTALLED  FIXED IN  TYPE          VULNERABILITY        SEVERITY  EPSS         RISK   
jetty-http           12.0.27    12.0.33   java-archive  GHSA-355h-qmc2-wpwf  High      1.1% (62nd)  0.8    
jackson-databind     2.20.0     2.21.4    java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (47th)  0.5    
jackson-databind     2.20.0     2.21.4    java-archive  GHSA-j3rv-43j4-c7qm  High      0.6% (45th)  0.5    
jetty-server         12.0.27    12.0.32   java-archive  GHSA-xxh7-fcf3-rj7f  High      0.6% (45th)  0.5    
jackson-databind     2.20.0               java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (26th)  0.2    
jackson-databind     2.20.0     2.21.4    java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)  0.1    
jetty-http           12.0.27    12.0.31   java-archive  GHSA-wjpw-4j6x-6rwh  Low       0.2% (5th)   < 0.1  
jline-remote-telnet  3.30.6     4.2.1     java-archive  GHSA-2r2c-cx56-8933  High      N/A          N/A    
jline-remote-telnet  3.30.6     4.2.1     java-archive  GHSA-47qp-hqvx-6r3f  High      N/A          N/A    
jackson-core         2.20.0     2.21.1    java-archive  GHSA-72hv-8253-57qq  Medium    N/A          N/A
