NAME                           INSTALLED         FIXED IN                                             TYPE          VULNERABILITY        SEVERITY  EPSS          RISK   
tika-core                      2.9.2             3.2.2                                                java-archive  GHSA-f58c-gq56-vjjf  Critical  79.8% (99th)  75.8   
jackson-databind               2.4.0             2.7.9.2                                              java-archive  GHSA-rfx6-vp9g-rh7v  Critical  49.7% (98th)  46.7   
parquet-avro                   1.13.1            1.15.1                                               java-archive  GHSA-2c59-37c4-qrx5  Critical  38.7% (98th)  36.8   
jackson-databind               2.4.0             2.6.7.1                                              java-archive  GHSA-qxxx-2pp7-5hmx  Critical  37.9% (98th)  35.6   
spring-web                     5.3.39            6.0.0                                                java-archive  GHSA-4wrc-f8pq-fpqp  Critical  32.3% (98th)  30.3   
jackson-databind               2.4.0             2.6.7.4                                              java-archive  GHSA-4w82-r329-3q67  Critical  26.6% (97th)  25.0   
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-mph4-vhrx-mv67  Medium    45.2% (98th)  24.6   
mina-core                      2.1.6             2.1.10                                               java-archive  GHSA-76h9-2vwh-w278  Critical  23.9% (97th)  22.6   
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-cggj-fvv3-cqwv  Critical  20.1% (97th)  18.9   
jackson-databind               2.4.0             2.7.9.7                                              java-archive  GHSA-q93h-jc49-78gg  Critical  18.7% (96th)  17.6   
jackson-databind               2.4.0             2.7.9.7                                              java-archive  GHSA-p43x-xfjf-5jhr  Critical  18.3% (96th)  17.2   
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-5ww9-j83m-q7qx  High      21.9% (97th)  16.5   
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-9gph-22xh-8x98  High      20.9% (97th)  16.3   
jackson-databind               2.10.1            2.10.5.1                                             java-archive  GHSA-288c-cq4h-88gq  High      17.6% (96th)  13.2   
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-645p-88qh-w398  Critical  12.7% (95th)  11.9   
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-h822-r4r5-v8jg  Critical  10.7% (95th)  10.0   
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-c8hm-7hpq-7jhg  Critical  10.6% (95th)  10.0   
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-5r5r-6hpj-8gg9  High      12.5% (95th)  9.8    
jackson-databind               2.4.0             2.7.9.5                                              java-archive  GHSA-4gq5-ch57-c2mg  Critical  9.7% (94th)   9.1    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-f9xh-2qgp-cq57  High      10.9% (95th)  8.5    
jackson-databind               2.4.0             2.6.7.4                                              java-archive  GHSA-gww7-p5w4-wrfv  Critical  8.6% (94th)   8.1    
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-m6x4-97wx-4q27  High      10.4% (95th)  8.1    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-gwp4-hfv6-p7hw  High      10.8% (95th)  8.1    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-h592-38cm-4ggp  Critical  8.4% (94th)   7.9    
jackson-databind               2.4.0             2.7.9.6                                              java-archive  GHSA-6fpp-rgj9-8rwc  Critical  8.0% (94th)   7.6    
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-r3gr-cxrf-hg25  High      9.5% (94th)   7.4    
jackson-databind               2.4.0             2.9.10.6                                             java-archive  GHSA-h3cw-g4mq-c5x2  High      9.3% (94th)   7.3    
jackson-databind               2.4.0             2.6.7.4                                              java-archive  GHSA-fqwf-pjwf-7vqv  High      8.0% (94th)   6.5    
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-wh8g-3j2c-rqj5  High      7.7% (93rd)   6.0    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-cmfg-87vq-g5g4  Medium    11.0% (95th)  6.0    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-5949-rw7g-wx7w  High      7.5% (93rd)   5.8    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-qjw2-hr98-qgfh  High      7.3% (93rd)   5.7    
jackson-databind               2.4.0             2.7.9.4                                              java-archive  GHSA-cjjf-94ff-43w7  High      7.3% (93rd)   5.5    
jackson-databind               2.4.0             2.7.9.5                                              java-archive  GHSA-w3f4-3q6j-rh82  High      7.0% (93rd)   5.4    
jackson-databind               2.4.0             2.7.9.4                                              java-archive  GHSA-qr7j-h6gg-jmgc  Critical  5.7% (92nd)   5.3    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-mx7p-6679-8g3q  Critical  5.7% (92nd)   5.3    
activemq-client                5.15.16           5.16.8                                               java-archive  GHSA-whxr-3p84-rf3c  Medium    8.5% (94th)   5.2    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-gjmw-vf9h-g25v  Critical  5.3% (91st)   5.0    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-85cw-hj65-qqv9  Critical  4.9% (91st)   4.6    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-fmmc-742q-jg75  Critical  4.9% (90th)   4.6    
jackson-databind               2.4.0             2.8.11.5                                             java-archive  GHSA-f3j5-rmmp-3fc5  Critical  4.6% (90th)   4.3    
jackson-databind               2.4.0             2.6.7.3                                              java-archive  GHSA-cf6r-3wgc-h863  High      5.4% (91st)   4.1    
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-8w26-6f25-cm9x  High      5.2% (91st)   4.1    
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-v585-23hc-c647  High      5.2% (91st)   4.1    
jackson-databind               2.4.0             2.9.10.8                                             java-archive  GHSA-r695-7vr9-jgc2  High      5.2% (91st)   4.1    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-8c4j-34r4-xr8g  High      5.0% (91st)   3.9    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-89qr-369f-5m5x  High      5.0% (91st)   3.9    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-cvm9-fjm9-3572  High      5.0% (91st)   3.9    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-vfqx-33qm-g869  High      4.9% (91st)   3.8    
jackson-databind               2.4.0             2.6.7.5                                              java-archive  GHSA-9m6f-7xcq-8vf8  High      4.9% (91st)   3.8    
jackson-databind               2.10.1            2.12.6.1                                             java-archive  GHSA-57j2-w4cx-62h2  High      4.9% (90th)   3.6    
jackson-databind               2.4.0             2.12.6.1                                             java-archive  GHSA-57j2-w4cx-62h2  High      4.9% (90th)   3.6    
kafka-clients                  2.0.0             2.6.3                                                java-archive  GHSA-3j6g-hxx5-3q26  Medium    5.8% (92nd)   3.1    
guava                          14.0.1            24.1.1-android                                       java-archive  GHSA-mvr2-9pj6-7w5j  Medium    5.1% (91st)   2.8    
guava                          19.0              24.1.1-android                                       java-archive  GHSA-mvr2-9pj6-7w5j  Medium    5.1% (91st)   2.8    
jackson-databind               2.4.0             2.9.10.4                                             java-archive  GHSA-rpr3-cw39-3pxh  High      3.3% (87th)   2.6    
protobuf-java                  2.5.0             3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.19.6            3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.21.12           3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.21.9            3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.24.0            3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.24.3            3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.25.3            3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
protobuf-java                  3.25.4            3.25.5                                               java-archive  GHSA-735f-pc8j-v9w8  High      2.8% (84th)   2.2    
jackson-databind               2.10.1            2.12.7.1                                             java-archive  GHSA-jjjh-jjxp-wpff  High      2.8% (84th)   2.1    
jackson-databind               2.4.0             2.12.7.1                                             java-archive  GHSA-jjjh-jjxp-wpff  High      2.8% (84th)   2.1    
jackson-databind               2.10.1            2.12.7.1                                             java-archive  GHSA-rgv9-q543-rqg4  High      2.7% (83rd)   2.0    
jackson-databind               2.4.0             2.12.7.1                                             java-archive  GHSA-rgv9-q543-rqg4  High      2.7% (83rd)   2.0    
netty-handler                  4.1.115.Final     4.1.118.Final                                        java-archive  GHSA-4g8c-wm8x-jfhw  High      2.0% (77th)   1.5    
netty-handler                  4.1.94.Final      4.1.118.Final                                        java-archive  GHSA-4g8c-wm8x-jfhw  High      2.0% (77th)   1.5    
netty-handler                  4.1.84.Final      4.1.94.Final                                         java-archive  GHSA-6mjq-h674-j845  Medium    2.5% (82nd)   1.4    
netty-handler                  4.1.87.Final      4.1.94.Final                                         java-archive  GHSA-6mjq-h674-j845  Medium    2.5% (82nd)   1.4    
commons-beanutils              1.9.4             1.11.0                                               java-archive  GHSA-wxr5-93ph-8wr9  High      1.5% (72nd)   1.3    
commons-lang                   2.4                                                                    java-archive  GHSA-j288-q9x7-2f5v  Medium    2.2% (80th)   1.2    
commons-lang                   2.6                                                                    java-archive  GHSA-j288-q9x7-2f5v  Medium    2.2% (80th)   1.2    
commons-lang3                  3.17.0            3.18.0                                               java-archive  GHSA-j288-q9x7-2f5v  Medium    2.2% (80th)   1.2    
protobuf-java                  2.5.0             3.16.1                                               java-archive  GHSA-wrvw-hg22-4m67  High      1.7% (73rd)   1.2    
netty-codec-smtp               4.1.115.Final     4.1.128.Final                                        java-archive  GHSA-jq43-27x9-3v86  High      1.6% (73rd)   1.2    
netty-codec-smtp               4.1.84.Final      4.1.128.Final                                        java-archive  GHSA-jq43-27x9-3v86  High      1.6% (73rd)   1.2    
netty-codec-smtp               4.1.87.Final      4.1.128.Final                                        java-archive  GHSA-jq43-27x9-3v86  High      1.6% (73rd)   1.2    
netty-codec-smtp               4.1.94.Final      4.1.128.Final                                        java-archive  GHSA-jq43-27x9-3v86  High      1.6% (73rd)   1.2    
http2-common                   9.4.56.v20240826  9.4.58                                               java-archive  GHSA-mmxm-8w33-wc4h  High      1.6% (72nd)   1.2    
commons-configuration2         2.1.1             2.10.1                                               java-archive  GHSA-xjp4-hw94-mvp5  Medium    2.1% (78th)   1.2    
parquet-avro                   1.13.1            1.15.2                                               java-archive  GHSA-53wx-pr6q-m3j5  High      1.4% (70th)   1.1    
libtiff                        4.7.1                                                                  nix           CVE-2023-6277        Medium    1.8% (76th)   1.0    
nifi-web-api                   1.28.1            2.1.0                                                java-archive  GHSA-mpj7-7mg7-x95j  Low       3.1% (86th)   1.0    
commons-configuration2         2.1.1             2.10.1                                               java-archive  GHSA-9w38-p64v-xpmv  Medium    1.7% (74th)   1.0    
