NAME               INSTALLED      FIXED IN       TYPE          VULNERABILITY        SEVERITY  EPSS         RISK  
jackson-databind   2.21.3         2.21.4         java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (47th)  0.5   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (47th)  0.5   
jackson-databind   2.21.3         2.21.4         java-archive  GHSA-j3rv-43j4-c7qm  High      0.6% (45th)  0.5   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-j3rv-43j4-c7qm  High      0.6% (45th)  0.5   
netty-codec-http2  4.1.133.Final  4.1.135.Final  java-archive  GHSA-c2gf-v879-257j  Medium    0.6% (44th)  0.3   
netty-handler      4.1.133.Final  4.1.135.Final  java-archive  GHSA-c653-97m9-rcg9  High      0.3% (18th)  0.2   
jackson-databind   2.21.3                        java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (26th)  0.2   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-5jmj-h7xm-6q6v  Medium    0.3% (26th)  0.2   
netty-codec-http2  4.1.133.Final  4.1.135.Final  java-archive  GHSA-563q-j3cm-6jxm  Medium    0.3% (21st)  0.2   
netty-codec-http2  4.1.133.Final  4.1.135.Final  java-archive  GHSA-5x3r-wrvg-rp6q  Medium    0.3% (20th)  0.2   
jackson-databind   2.21.3         2.21.4         java-archive  GHSA-9fxm-vc8v-hj55  Medium    0.3% (20th)  0.1   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-9fxm-vc8v-hj55  Medium    0.3% (20th)  0.1   
jackson-databind   2.21.3         2.21.4         java-archive  GHSA-5hh8-q8hv-fr38  Medium    0.2% (14th)  0.1   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-5hh8-q8hv-fr38  Medium    0.2% (14th)  0.1   
jackson-databind   2.21.3         2.21.4         java-archive  GHSA-rcqc-6cw3-h962  Medium    0.2% (11th)  0.1   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-rcqc-6cw3-h962  Medium    0.2% (11th)  0.1   
netty-codec-http   4.1.133.Final  4.1.135.Final  java-archive  GHSA-hvcg-qmg6-jm4c  Medium    0.2% (14th)  0.1   
jackson-databind   2.21.3         2.21.4         java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)  0.1   
jackson-databind   3.1.3          3.1.4          java-archive  GHSA-hgj6-7826-r7m5  Medium    0.2% (12th)  0.1
