NAME                 INSTALLED  FIXED IN                       TYPE       VULNERABILITY  SEVERITY  EPSS         RISK   
stdlib               go1.25.0   1.24.12, *1.25.6               go-module  GO-2026-4341   High      1.9% (77th)  1.5    
stdlib               go1.25.0   1.24.13, *1.25.7, 1.26.0-rc.3  go-module  GO-2026-4337   Critical  0.8% (51st)  0.7    
stdlib               go1.25.0   *1.25.11, 1.26.4               go-module  GO-2026-5037   High      0.9% (55th)  0.7    
stdlib               go1.25.0   *1.25.8, 1.26.1                go-module  GO-2026-4601   High      0.7% (49th)  0.5    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4009   High      0.6% (45th)  0.5    
stdlib               go1.25.0   *1.25.9, 1.26.2                go-module  GO-2026-4870   High      0.6% (45th)  0.5    
stdlib               go1.25.0   *1.25.9, 1.26.2                go-module  GO-2026-4947   High      0.6% (45th)  0.5    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4006   High      0.6% (45th)  0.5    
stdlib               go1.25.0   1.24.12, *1.25.6               go-module  GO-2026-4342   Medium    0.6% (46th)  0.4    
stdlib               go1.25.0   1.24.11, *1.25.5               go-module  GO-2025-4155   High      0.5% (36th)  0.3    
stdlib               go1.25.0   1.24.9, *1.25.3                go-module  GO-2025-4007   High      0.4% (30th)  0.3    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4012   Medium    0.5% (41st)  0.3    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4011   Medium    0.5% (40th)  0.3    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4015   Medium    0.5% (40th)  0.3    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4013   High      0.4% (28th)  0.3    
stdlib               go1.25.0   *1.25.9, 1.26.2                go-module  GO-2026-4946   High      0.3% (26th)  0.3    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4010   Medium    0.4% (35th)  0.2    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4008   Medium    0.4% (35th)  0.2    
stdlib               go1.25.0   *1.25.10, 1.26.3               go-module  GO-2026-4980   Medium    0.4% (29th)  0.2    
stdlib               go1.25.0   *1.25.10, 1.26.3               go-module  GO-2026-4976   Medium    0.4% (31st)  0.2    
stdlib               go1.25.0   1.24.8, *1.25.2                go-module  GO-2025-4014   Medium    0.4% (33rd)  0.2    
stdlib               go1.25.0   *1.25.11, 1.26.4               go-module  GO-2026-5039   Medium    0.4% (29th)  0.2    
stdlib               go1.25.0   *1.25.8, 1.26.1                go-module  GO-2026-4603   Medium    0.3% (24th)  0.2    
stdlib               go1.25.0   *1.25.10, 1.26.3               go-module  GO-2026-4982   Medium    0.3% (23rd)  0.2    
stdlib               go1.25.0   *1.25.9, 1.26.2                go-module  GO-2026-4864   Medium    0.3% (20th)  0.2    
stdlib               go1.25.0   *1.25.9, 1.26.2                go-module  GO-2026-4865   Medium    0.3% (20th)  0.2    
stdlib               go1.25.0   1.25.1                         go-module  GO-2025-3955   Medium    0.3% (22nd)  0.2    
stdlib               go1.25.0   1.24.11, *1.25.5               go-module  GO-2025-4175   Medium    0.3% (19th)  0.2    
stdlib               go1.25.0   *1.25.9, 1.26.2                go-module  GO-2026-4869   Medium    0.3% (20th)  0.2    
stdlib               go1.25.0   1.24.12, *1.25.6               go-module  GO-2026-4340   Medium    0.3% (19th)  0.1    
stdlib               go1.25.0   *1.25.8, 1.26.1                go-module  GO-2026-4602   Low       0.2% (10th)  < 0.1  
stdlib               go1.25.0   *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  GO-2026-4970   High      N/A          N/A    
stdlib               go1.25.0   *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  GO-2026-5856   Medium    N/A          N/A    
golang.org/x/crypto  v0.52.0                                   go-module  GO-2026-5932   Unknown   N/A          N/A
