NAME                        INSTALLED                           FIXED IN                             TYPE       VULNERABILITY        SEVERITY  EPSS           RISK          
golang.org/x/net            v0.1.0                              0.23.0                               go-module  GO-2024-2687         High      92.0% (99th)   69.0          
stdlib                      go1.18.10                           *1.21.9, 1.22.2                      go-module  GO-2024-2687         High      92.0% (99th)   69.0          
golang.org/x/net            v0.1.0                              0.17.0                               go-module  GHSA-qppj-fm5r-hxr3  Medium    100.0% (99th)  58.3   (kev)  
golang.org/x/net            v0.1.0                              0.23.0                               go-module  GHSA-4v7x-pqxf-cx7m  Medium    92.0% (99th)   47.4          
golang.org/x/net            v0.1.0                              0.7.0                                go-module  GHSA-vvpx-j8f3-3w6h  High      4.6% (90th)    3.4           
golang.org/x/net            v0.1.0                              0.7.0                                go-module  GO-2023-1571         High      4.6% (90th)    3.4           
stdlib                      go1.18.10                           *1.19.6, 1.20.1                      go-module  GO-2023-1571         High      4.6% (90th)    3.4           
golang.org/x/net            v0.1.0                              0.4.0                                go-module  GHSA-xrjj-mj9h-534m  Medium    5.6% (92nd)    2.9           
golang.org/x/net            v0.1.0                              0.4.0                                go-module  GO-2022-1144         Medium    5.6% (92nd)    2.9           
golang.org/x/net            v0.1.0                              0.17.0                               go-module  GHSA-4374-p667-p6c8  High      3.8% (88th)    2.8           
golang.org/x/net            v0.1.0                              0.17.0                               go-module  GO-2023-2102         High      3.8% (88th)    2.8           
stdlib                      go1.18.10                           *1.20.10, 1.21.3                     go-module  GO-2023-2102         High      3.8% (88th)    2.8           
stdlib                      go1.18.10                           *1.19.8, 1.20.3                      go-module  GO-2023-1703         Critical  2.3% (81st)    2.1           
stdlib                      go1.18.10                           *1.20.11, 1.21.4                     go-module  GO-2023-2185         High      2.8% (84th)    2.1           
stdlib                      go1.18.10                           *1.21.11, 1.22.4                     go-module  GO-2024-2887         Critical  2.0% (77th)    1.8           
stdlib                      go1.18.10                           *1.24.12, 1.25.6                     go-module  GO-2026-4341         High      1.9% (77th)    1.5           
stdlib                      go1.18.10                           *1.19.9, 1.20.4                      go-module  GO-2023-1752         Critical  1.5% (72nd)    1.5           
stdlib                      go1.18.10                           *1.19.8, 1.20.3                      go-module  GO-2023-1704         High      1.9% (77th)    1.4           
golang.org/x/net            v0.1.0                              0.1.1-0.20221104162952-702349b0e862  go-module  GHSA-fxg5-wq6x-vr4w  High      1.8% (76th)    1.4           
golang.org/x/net            v0.1.0                              0.1.1-0.20221104162952-702349b0e862  go-module  GO-2023-1495         High      1.8% (76th)    1.4           
stdlib                      go1.18.10                           *1.19.6, 1.20.1                      go-module  GO-2023-1568         High      1.7% (74th)    1.3           
stdlib                      go1.18.10                           *1.19.8, 1.20.3                      go-module  GO-2023-1705         High      1.5% (70th)    1.1           
stdlib                      go1.18.10                           *1.21.12, 1.22.5                     go-module  GO-2024-2963         High      1.4% (69th)    1.1           
stdlib                      go1.18.10                           *1.19.8, 1.20.3                      go-module  GO-2023-1702         High      1.4% (69th)    1.1           
stdlib                      go1.18.10                           1.20.0                               go-module  GO-2023-2375         High      1.2% (65th)    0.9           
stdlib                      go1.18.10                           *1.19.6, 1.20.1                      go-module  GO-2023-1569         High      1.2% (65th)    0.9           
stdlib                      go1.18.10                           *1.22.7, 1.23.1                      go-module  GO-2024-3106         High      1.1% (62nd)    0.8           
stdlib                      go1.18.10                           *1.19.6, 1.20.1                      go-module  GO-2023-1570         High      1.1% (61st)    0.8           
stdlib                      go1.18.10                           *1.22.7, 1.23.1                      go-module  GO-2024-3107         High      1.0% (60th)    0.8           
stdlib                      go1.18.10                           *1.21.8, 1.22.1                      go-module  GO-2024-2609         High      1.0% (59th)    0.8           
stdlib                      go1.18.10                           *1.19.9, 1.20.4                      go-module  GO-2023-1751         High      1.0% (59th)    0.8           
stdlib                      go1.18.10                           *1.19.9, 1.20.4                      go-module  GO-2023-1753         High      1.0% (59th)    0.8           
google.golang.org/protobuf  v1.28.0                             1.33.0                               go-module  GHSA-8r3f-844c-mc37  Medium    1.3% (66th)    0.8           
stdlib                      go1.18.10                           *1.24.13, 1.25.7, 1.26.0-rc.3        go-module  GO-2026-4337         Critical  0.8% (51st)    0.7           
stdlib                      go1.18.10                           *1.19.11, 1.20.6                     go-module  GO-2023-1878         Medium    1.2% (65th)    0.7           
stdlib                      go1.18.10                           *1.19.12, 1.20.7, 1.21.0-rc.4        go-module  GO-2023-1987         Medium    1.3% (67th)    0.7           
stdlib                      go1.18.10                           *1.25.11, 1.26.4                     go-module  GO-2026-5037         High      0.9% (55th)    0.7           
stdlib                      go1.18.10                           *1.21.8, 1.22.1                      go-module  GO-2024-2599         Medium    1.2% (63rd)    0.7           
stdlib                      go1.18.10                           *1.23.8, 1.24.2                      go-module  GO-2025-3563         Critical  0.7% (49th)    0.7           
stdlib                      go1.18.10                           *1.20.12, 1.21.5                     go-module  GO-2023-2382         Medium    1.2% (64th)    0.6           
golang.org/x/oauth2         v0.0.0-20220411215720-9780585627b5  0.27.0                               go-module  GHSA-6v2p-p543-phr9  High      0.8% (52nd)    0.6           
golang.org/x/oauth2         v0.0.0-20220411215720-9780585627b5  0.27.0                               go-module  GO-2025-3488         High      0.8% (52nd)    0.6           
stdlib                      go1.18.10                           *1.25.8, 1.26.1                      go-module  GO-2026-4601         High      0.7% (49th)    0.5           
stdlib                      go1.18.10                           *1.21.8, 1.22.1                      go-module  GO-2024-2600         Medium    1.1% (61st)    0.5           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4009         High      0.6% (45th)    0.5           
golang.org/x/net            v0.1.0                              0.13.0                               go-module  GHSA-2wrh-6pvc-2jm9  Medium    0.8% (53rd)    0.5           
golang.org/x/net            v0.1.0                              0.13.0                               go-module  GO-2023-1988         Medium    0.8% (53rd)    0.5           
stdlib                      go1.18.10                           *1.25.9, 1.26.2                      go-module  GO-2026-4870         High      0.6% (45th)    0.5           
stdlib                      go1.18.10                           *1.20.11, 1.21.4                     go-module  GO-2023-2186         Medium    0.9% (55th)    0.5           
stdlib                      go1.18.10                           *1.25.9, 1.26.2                      go-module  GO-2026-4947         High      0.6% (45th)    0.5           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4006         High      0.6% (45th)    0.5           
stdlib                      go1.18.10                           *1.20.8, 1.21.1                      go-module  GO-2023-2041         Medium    0.8% (52nd)    0.5           
stdlib                      go1.18.10                           *1.20.8, 1.21.1                      go-module  GO-2023-2043         Medium    0.8% (52nd)    0.4           
golang.org/x/net            v0.1.0                              0.33.0                               go-module  GO-2024-3333         Medium    0.9% (54th)    0.4           
stdlib                      go1.18.10                           *1.19.7, 1.20.2                      go-module  GO-2023-1621         Medium    0.8% (52nd)    0.4           
stdlib                      go1.18.10                           *1.21.8, 1.22.1                      go-module  GO-2024-2610         Medium    0.8% (52nd)    0.4           
stdlib                      go1.18.10                           *1.22.7, 1.23.1                      go-module  GO-2024-3105         Medium    0.8% (53rd)    0.4           
stdlib                      go1.18.10                           *1.24.12, 1.25.6                     go-module  GO-2026-4342         Medium    0.6% (46th)    0.4           
stdlib                      go1.18.10                           *1.21.8, 1.22.1                      go-module  GO-2024-2598         Medium    0.7% (47th)    0.4           
stdlib                      go1.18.10                           *1.22.11, 1.23.5, 1.24.0-rc.2        go-module  GO-2025-3420         Medium    0.6% (46th)    0.4           
stdlib                      go1.18.10                           *1.24.11, 1.25.5                     go-module  GO-2025-4155         High      0.5% (36th)    0.3           
stdlib                      go1.18.10                           *1.19.10, 1.20.5                     go-module  GO-2023-1840         High      0.4% (34th)    0.3           
stdlib                      go1.18.10                           *1.23.10, 1.24.4                     go-module  GO-2025-3751         Medium    0.6% (42nd)    0.3           
stdlib                      go1.18.10                           *1.24.9, 1.25.3                      go-module  GO-2025-4007         High      0.4% (30th)    0.3           
stdlib                      go1.18.10                           *1.23.12, 1.24.6                     go-module  GO-2025-3956         Medium    0.5% (38th)    0.3           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4012         Medium    0.5% (41st)    0.3           
golang.org/x/net            v0.1.0                              0.38.0                               go-module  GO-2025-3595         Medium    0.5% (37th)    0.3           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4011         Medium    0.5% (40th)    0.3           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4015         Medium    0.5% (40th)    0.3           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4013         High      0.4% (28th)    0.3           
stdlib                      go1.18.10                           *1.25.9, 1.26.2                      go-module  GO-2026-4946         High      0.3% (26th)    0.3           
golang.org/x/net            v0.1.0                              0.45.0                               go-module  GO-2026-4440         Medium    0.5% (39th)    0.3           
stdlib                      go1.18.10                           *1.23.12, 1.24.6                     go-module  GO-2025-3849         High      0.4% (27th)    0.3           
stdlib                      go1.18.10                           *1.22.11, 1.23.5, 1.24.0-rc.2        go-module  GO-2025-3373         Medium    0.5% (36th)    0.3           
golang.org/x/net            v0.1.0                              0.45.0                               go-module  GO-2026-4441         Medium    0.5% (38th)    0.2           
golang.org/x/net            v0.1.0                              0.38.0                               go-module  GHSA-vvgc-356p-c3xw  Medium    0.5% (37th)    0.2           
stdlib                      go1.18.10                           *1.21.11, 1.22.4                     go-module  GO-2024-2888         Medium    0.4% (35th)    0.2           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4010         Medium    0.4% (35th)    0.2           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4008         Medium    0.4% (35th)    0.2           
stdlib                      go1.18.10                           *1.25.10, 1.26.3                     go-module  GO-2026-4980         Medium    0.4% (29th)    0.2           
stdlib                      go1.18.10                           *1.25.10, 1.26.3                     go-module  GO-2026-4976         Medium    0.4% (31st)    0.2           
stdlib                      go1.18.10                           *1.24.8, 1.25.2                      go-module  GO-2025-4014         Medium    0.4% (33rd)    0.2           
stdlib                      go1.18.10                           *1.25.11, 1.26.4                     go-module  GO-2026-5039         Medium    0.4% (29th)    0.2           
stdlib                      go1.18.10                           *1.25.8, 1.26.1                      go-module  GO-2026-4603         Medium    0.3% (24th)    0.2           
golang.org/x/net            v0.1.0                              0.36.0                               go-module  GHSA-qxp5-gwg8-xv66  Medium    0.4% (30th)    0.2           
golang.org/x/net            v0.1.0                              0.36.0                               go-module  GO-2025-3503         Medium    0.4% (30th)    0.2           
stdlib                      go1.18.10                           *1.23.7, 1.24.1                      go-module  GO-2025-3503         Medium    0.4% (30th)    0.2           
stdlib                      go1.18.10                           *1.25.10, 1.26.3                     go-module  GO-2026-4982         Medium    0.3% (23rd)    0.2           
stdlib                      go1.18.10                           *1.25.9, 1.26.2                      go-module  GO-2026-4864         Medium    0.3% (20th)    0.2           
busybox                     1.37.0                                                                   binary     CVE-2025-60876       Medium    0.3% (20th)    0.2           
busybox                     1.37.0                                                                   nix        CVE-2025-60876       Medium    0.3% (20th)    0.2           
stdlib                      go1.18.10                           *1.25.9, 1.26.2                      go-module  GO-2026-4865         Medium    0.3% (20th)    0.2           
stdlib                      go1.18.10                           *1.24.11, 1.25.5                     go-module  GO-2025-4175         Medium    0.3% (19th)    0.2           
stdlib                      go1.18.10                           *1.25.9, 1.26.2                      go-module  GO-2026-4869         Medium    0.3% (20th)    0.2           
golang.org/x/net            v0.1.0                              0.55.0                               go-module  GHSA-5cv4-jp36-h3mw  Medium    0.2% (15th)    0.1           
golang.org/x/net            v0.1.0                              0.55.0                               go-module  GO-2026-5028         Medium    0.2% (15th)    0.1           
stdlib                      go1.18.10                           *1.24.12, 1.25.6                     go-module  GO-2026-4340         Medium    0.3% (19th)    0.1           
stdlib                      go1.18.10                           *1.23.10, 1.24.4                     go-module  GO-2025-3750         Medium    0.2% (15th)    0.1           
stdlib                      go1.18.10                           *1.22.12, 1.23.6, 1.24.0-rc.3        go-module  GO-2025-3447         Medium    0.3% (20th)    0.1           
golang.org/x/net            v0.1.0                              0.55.0                               go-module  GO-2026-5025         Medium    0.2% (8th)     0.1           
golang.org/x/net            v0.1.0                              0.55.0                               go-module  GO-2026-5027         Medium    0.2% (7th)     < 0.1         
golang.org/x/net            v0.1.0                              0.55.0                               go-module  GO-2026-5029         Medium    0.2% (7th)     < 0.1         
golang.org/x/net            v0.1.0                              0.55.0                               go-module  GO-2026-5030         Medium    0.2% (7th)     < 0.1         
stdlib                      go1.18.10                           *1.23.9, 1.24.3                      go-module  GO-2026-4403         Low       0.2% (14th)    < 0.1         
busybox                     1.37.0                                                                   binary     CVE-2024-58251       Low       0.2% (14th)    < 0.1         
busybox                     1.37.0                                                                   nix        CVE-2024-58251       Low       0.2% (14th)    < 0.1         
stdlib                      go1.18.10                           *1.25.8, 1.26.1                      go-module  GO-2026-4602         Low       0.2% (10th)    < 0.1         
busybox                     1.37.0                                                                   binary     CVE-2025-46394       Low       0.1% (4th)     < 0.1         
busybox                     1.37.0                                                                   nix        CVE-2025-46394       Low       0.1% (4th)     < 0.1         
golang.org/x/sys            v0.1.0                              0.44.0                               go-module  GO-2026-5024         Low       0.1% (1st)     < 0.1         
stdlib                      go1.18.10                           *1.25.12, 1.26.5, 1.27.0-rc.2        go-module  GO-2026-4970         High      N/A            N/A           
stdlib                      go1.18.10                           *1.25.12, 1.26.5, 1.27.0-rc.2        go-module  GO-2026-5856         Medium    N/A            N/A
