NAME       INSTALLED  TYPE    VULNERABILITY   SEVERITY  EPSS          RISK   
wordpress  7.0        nix     CVE-2013-7240   Medium    19.6% (97th)  9.8    
wordpress  7.0        nix     CVE-2011-5216   High      2.4% (82nd)   1.8    
wordpress  7.0        nix     CVE-2007-2627   Medium    2.3% (81st)   1.4    
wordpress  7.0        nix     CVE-2012-4271   Medium    2.0% (78th)   1.0    
wordpress  7.0        nix     CVE-2012-6527   Low       2.2% (80th)   0.6    
busybox    1.37.0     binary  CVE-2025-60876  Medium    0.3% (20th)   0.2    
busybox    1.37.0     nix     CVE-2025-60876  Medium    0.3% (20th)   0.2    
busybox    1.37.0     binary  CVE-2024-58251  Low       0.2% (14th)   < 0.1  
busybox    1.37.0     nix     CVE-2024-58251  Low       0.2% (14th)   < 0.1  
busybox    1.37.0     binary  CVE-2025-46394  Low       0.1% (4th)    < 0.1  
busybox    1.37.0     nix     CVE-2025-46394  Low       0.1% (4th)    < 0.1
